courseID,courseName,courseDescription,programID,professorID
17,Introduction to Literature,"Analyze various literary forms, themes, and techniques, exploring works from diverse periods and cultures.",42,88
65,Environmental Science,"Understand the interaction between humans and the environment, focusing on ecological processes and sustainability.",39,89
37,Calculus I,"Study the concepts of limits, derivatives, and integrals, laying the foundation for advanced mathematical courses.",35,90
44,General Chemistry,"Learn the foundational principles of chemistry including atomic structure, chemical bonding, and reactions.",51,91
67,Introduction to Political Science,"Explore the fundamentals of political systems, theories, and the role of government in society.",23,92
99,Business Administration Fundamentals,"Understand the basic principles of business operations, management, and organizational structure.",12,93
98,Art History: Renaissance to Modern,"Study significant movements in art from the Renaissance to modern times, understanding historical context and artistic techniques.",60,94
40,Psychology of Learning,Delve into the theories and applications of how humans learn and retain information.,19,95
46,Principles of Economics,"Learn the basics of micro and macroeconomic theory and analysis, focusing on how markets function and economies operate.",42,96
72,Introduction to Sociology,"Understand the social world and human behavior in a societal context, examining social institutions and relationships.",45,97
95,Environmental Science,"Understand the interaction between humans and the environment, focusing on ecological processes and sustainability.",21,98
13,Biology 101,"Discover the principles of biology, covering cell structure, functions, genetics, evolution, and ecology.",52,99
72,Calculus I,"Study the concepts of limits, derivatives, and integrals, laying the foundation for advanced mathematical courses.",7,100
