replyID,sID,qID,content,datePosted,isApproved
51,49,55,"Quae nec naturales nec necessariae. Quarum ea ratio est, ut Epicuro placet, nihil dolere, primum tibi recte, Chrysippe, concessum est nihil.",2024-07-16 06:24:58,0
52,97,64,Maiorum voluptatum adipiscendarum causa aut dolores suscipiantur maiorum dolorum effugiendorum gratia. Sed de clarorum hominum factis illustribus et gloriosis satis hoc loco dictum sit.,2024-04-19 08:37:27,0
53,73,51,"Exercitationem ullam corporis suscipit laboriosam, nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in longinquitate.",2024-06-30 19:23:05,1
54,52,9,"Vexetur, ob eumque errorem et voluptatibus maximis saepe priventur et durissimis animi doloribus torqueantur, sapientia est adhibenda, quae et splendide dicta sint neque sint conversa de Graecis? Nam si concederetur, etiamsi ad corpus nihil referatur, ista sua sponte et per se esset et virtus et cognitio rerum, quod.",2024-07-20 04:13:40,0
55,74,46,Discedere. Nam cum solitudo et vita sine amicis insidiarum et metus et aegritudines ad.,2023-12-16 07:39:12,1
56,18,19,"Explentur sine ulla iniuria, quae autem de bene beateque vivendum. Sed existimo te, sicut nostrum.",2024-05-28 03:28:41,0
57,10,56,"Diceretur, persecuti sumus. Ut autem a facillimis ordiamur, prima veniat in medium Epicuri ratio, quae plerisque notissima est. Quam a nobis philosophia defensa et collaudata est.",2024-10-11 10:03:56,1
58,8,37,"Aliquando, nulla praeterea neque praesenti nec expectata voluptate, quid eo miserius dici aut fingi potest? Quodsi vita doloribus referta maxime.",2024-04-07 19:55:05,0
59,99,60,"Bene noris. Nisi mihi Phaedrum, inquam, tu mentitum aut Zenonem putas, quorum utrumque audivi, cum miraretur ille quidem utrumque, Phaedrum autem.",2024-11-24 18:32:41,0
60,91,26,Inanitate omni et errore naturae finibus contentus sine aegritudine possit et sine metu vivere. Quae est enim contra Cyrenaicos satis acute.,2024-01-16 00:36:21,0
61,44,14,"Et durissimis animi doloribus torqueantur, sapientia est adhibenda, quae et splendide.",2024-06-19 04:19:22,1
62,68,63,"Id quidem, inquam, arbitratu. Sic faciam igitur, inquit: unam rem explicabo, eamque maximam, de physicis alias, et quidem tibi et.",2024-11-14 19:05:43,1
63,26,6,"Sed multitudinem haec maxime allicit, quod ita putant dici ab illo, recta.",2024-08-19 07:03:59,1
64,93,24,"Scripserit Electram, tamen male conversam Atilii mihi legendam putem, de quo Lucilius: 'ferreum scriptorem', verum, opinor, scriptorem tamen, ut legendus sit. Rudem enim esse omnino in nostris poetis aut inertissimae segnitiae est aut fastidii delicatissimi. Mihi quidem videtur, inermis ac nudus est. Tollit definitiones, nihil de dividendo ac.",2024-08-21 20:36:57,0
65,9,36,"De litteris, quarum summum erat in utroque studium, deinde Torquatus: Quoniam nacti te, inquit.",2024-01-31 02:16:03,1
66,13,65,"Extremum malorum? Qua de re cum sit inter doctissimos summa dissensio, quis alienum putet eius esse dignitatis, quam mihi quisque tribuat, quid in omni re doloris amotio successionem efficit voluptatis. Itaque non placuit Epicuro medium esse quiddam inter dolorem et voluptatem; illud enim ipsum, quod quibusdam medium videretur.",2024-01-01 03:44:26,0
67,65,50,"Praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa.",2023-12-25 15:54:23,1
68,26,48,Et refugiendi et omnino rerum gerendarum initia proficiscuntur aut a voluptate aut a voluptate aut a voluptate discedere. Nam cum ignoratione rerum bonarum et.,2024-11-21 15:40:16,1
69,1,25,"Nec libidinum nec epularum nec reliquarum cupiditatum, quas nulla praeda umquam improbe parta minuit, sed potius inflammat, ut coercendi magis quam dedocendi esse videantur. Invitat igitur vera ratio bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti.",2024-10-23 14:57:00,0
70,77,51,"Manu, quae manus significet illum in hae esse rogatiuncula delectatum: 'Numquidnam manus tua sic affecta, quem ad modum eae semper voluptatibus inhaererent, eadem de amicitia disputatum. Alii cum eas voluptates, quae ad quietem et ad eos cum suavitate afflueret et illaberetur, nec manus esse.",2024-05-04 23:38:18,0
71,5,69,"Tempus aut in poetis evolvendis, ut ego et Triarius te hortatore facimus, consumeret, in quibus nulla solida utilitas omnisque puerilis est delectatio, aut se.",2024-07-31 07:57:22,0
72,39,56,"Modo ista sis aequitate, quam ostendis. Sed uti oratione perpetua malo quam interrogare aut interrogari. Ut placet, inquam. Tum dicere exorsus est. Primum igitur, inquit, sic agam, ut ipsi auctori huius disciplinae placet: constituam, quid et.",2024-01-13 01:45:25,0
73,29,52,"Etiam carere possent sine dolore tum in damna, tum in damna, tum in damna, tum in dedecora incurrunt, saepe etiam legum iudiciorumque poenis obligantur.",2024-07-21 10:10:51,0
74,75,42,"Igitur, inquit: unam rem explicabo, eamque maximam, de physicis.",2024-02-29 03:55:59,1
75,78,65,"Scriptum est et ab antiquis, ad arbitrium suum scribere? Quodsi.",2023-11-28 04:01:12,1
76,91,60,"Ne movere hominum studia viderer, retinere non posse. Qui autem, si maxime.",2024-09-03 16:29:02,1
77,73,48,"Quam nihil praetermittatur quod vitam adiuvet, quo facilius id, quod quaeritur, sit pulcherrimum. Etenim si loca, si fana, si urbes, si gymnasia, si campum, si canes, si equos, si ludicra exercendi aut venandi consuetudine adamare solemus, quanto id in voluptate velit esse, quam nihil praetermittatur quod vitam adiuvet, quo facilius id, quod his libris quaeritur, qui.",2023-12-13 22:44:04,0
78,12,1,"Modo sine amicitia firmam et perpetuam iucunditatem vitae tenere possumus neque vero ipsam amicitiam tueri, nisi aeque amicos et nosmet ipsos diligamus, idcirco et hoc ipsum efficitur in amicitia, et amicitia cum voluptate conectitur. Nam et laetamur amicorum laetitia aeque atque nostra et pariter dolemus angoribus. Quocirca eodem modo sapiens erit affectus erga amicum, quo in.",2024-04-15 04:41:16,0
79,29,42,"Bonum in voluptate aut in dolore. Omnis autem privatione doloris putat Epicurus terminari summam voluptatem, ut postea variari voluptas distinguique possit, augeri amplificarique non possit. At.",2024-03-10 19:01:10,1
80,76,27,"Arbitraretur? Ut enim aeque doleamus animo, cum corpore dolemus, fieri tamen permagna accessio potest, si aliquod aeternum et infinitum impendere malum nobis opinemur. Quod.",2024-08-26 00:56:36,0
81,27,45,"Et oriantur et intereant cotidie. Quae etsi mihi nullo modo probantur, tamen Democritum laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum. Iam in altera.",2024-09-06 17:53:15,1
82,52,47,"Neque homini infanti aut inpotenti iniuste facta conducunt, qui nec facile efficere possit, quod melius sit, accedere? Statue contra aliquem confectum tantis animi corporisque doloribus, quanti in hominem maximi cadere possunt, nulla spe proposita fore levius aliquando, nulla praeterea neque praesenti nec expectata voluptate, quid eo miserius dici aut fingi potest? Quodsi.",2024-10-24 17:50:23,0
83,85,9,Nostra et pariter dolemus angoribus. Quocirca eodem modo.,2023-12-22 18:38:32,1
84,37,17,"Iracundiae, contentiones concertationesque in disputando pertinaces indignae philosophia mihi videri solent. Tum.",2024-08-17 15:13:17,1
85,29,69,"Virtutum cursu ad voluptatem proprius disserendi locus. Nunc autem explicabo, voluptas ipsa quae qualisque sit, ut tollatur error omnis imperitorum intellegaturque ea, quae corrigere vult, mihi quidem videtur, inermis ac nudus est. Tollit definitiones, nihil de dividendo ac partiendo.",2024-01-09 22:14:50,0
86,8,52,"Legendam putem, de quo quaerimus, non quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum dirigentur, numquam.",2024-03-10 10:10:46,1
87,89,39,"Consumeret, in quibus nulla solida utilitas omnisque puerilis est delectatio, aut.",2024-07-22 17:03:14,1
88,16,43,"Quid est, quod nullam eruditionem esse duxit, nisi quae beatae vitae disciplinam iuvaret. An ille tempus aut in poetis evolvendis, ut ego et Triarius.",2024-08-29 09:37:10,0
89,19,8,"Cur verear, ne ad eam non possim accommodare Torquatos nostros? Quos tu paulo.",2024-02-23 13:32:55,1
90,50,50,Contineri suam. Atque haec ratio late patet. In quo enim maxime consuevit iactare vestra.,2024-03-03 01:37:22,1
91,34,40,"Multo magis vita et factis et moribus comprobavit. Quod quam magnum sit fictae veterum fabulae declarant, in quibus nulla solida utilitas omnisque puerilis est delectatio, aut se, ut.",2024-09-11 08:06:26,1
92,51,18,"Contra aliquem confectum tantis animi corporisque doloribus, quanti in hominem maximi cadere possunt, nulla spe proposita fore levius aliquando, nulla praeterea.",2024-06-03 16:37:28,0
93,93,30,"Philosophia, tum id, quod sentiant non esse faciendum, ii voluptatem maximam adipiscuntur praetermittenda voluptate. Idem etiam dolorem saepe perpetiuntur, ne.",2024-01-06 23:22:08,0
94,71,16,"Necesse est in voluptate aut a voluptate aut in dolore, sed in his rebus instructus semper est in voluptate velit esse, quam nihil praetermittatur quod vitam adiuvet, quo facilius id, quod quaeritur.",2024-10-02 17:38:42,0
95,68,37,Quo voluptas nulla pariatur? At vero eos et accusamus et iusto odio dignissimos.,2024-04-09 07:47:34,1
96,29,5,"Aut imperiis aut opibus aut gloriae. Nullas enim consequuntur voluptates, quarum potiendi spe inflammati multos labores magnosque susceperant. Ecce autem alii minuti et angusti.",2024-03-10 15:20:26,0
97,72,17,"Declarant, sed videntur leviora, veniamus. Quid tibi, Torquate, quid huic.",2024-02-04 23:36:04,1
98,98,40,Quae suavitate aliqua naturam ipsam movet et cum iucunditate quadam percipitur sensibus.,2024-10-18 08:07:08,1
99,79,26,"Satis acuti, qui verentur ne, si amicitiam propter nostram voluptatem expetendam putemus, tota amicitia quasi claudicare videatur. Itaque primos congressus copulationesque et consuetudinum instituendarum voluntates fieri propter voluptatem; quod vero securi percussit filium, privavisse se etiam videtur multis voluptatibus, cum ipsi naturae.",2024-11-05 09:48:24,0
100,96,60,"Voluptatem, quia voluptas sit, aspernatur aut odit aut fugit, sed quia pacem animis afferat et eos quasi concordia quadam placet.",2023-12-25 04:36:20,0
